route_key,final_seatcount
2025-02-11_46_45,3702.767051503957
2025-01-20_17_23,1568.8662359173375
2025-01-08_02_14,1199.008883557722
2025-01-08_08_47,1134.3367883037758
2025-01-08_09_46,3203.652747266062
2025-01-21_45_05,1068.5973035753386
2025-02-26_47_08,1335.5805525884346
2025-01-03_02_19,2284.433216865199
2025-02-11_02_30,1771.132702396438
2025-01-25_05_45,1756.2290051805167
2025-02-04_36_07,1363.6845711760623
2025-01-28_02_14,1159.7491422123144
2025-01-14_47_46,2012.4891171088084
2025-02-04_02_16,1409.8444105043334
2025-02-20_47_43,2630.6850960463753
2025-01-03_19_30,1785.7694618805454
2025-02-27_22_36,1206.3233835686528
2025-02-10_47_08,1130.7615382344661
2025-01-27_47_02,1525.3159083652959
2025-01-27_22_36,1299.570851219355
2025-01-10_36_27,1359.0820214060466
2025-02-11_46_15,1226.5762744183082
2025-02-28_42_45,1709.9698114830592
2025-01-22_30_02,1567.4513752421087
2025-01-17_09_46,5452.534300346372
2025-01-29_46_48,3223.131610707532
2025-02-27_11_36,2264.439473988789
2025-02-19_48_45,1517.8716045722115
2025-01-27_23_13,1597.9299180119747
2025-01-14_28_45,3150.712328390819
2025-01-27_46_18,1029.106586885778
2025-02-14_47_05,4850.091014905406
2025-02-20_17_23,1117.5061983287947
2025-02-07_23_13,1925.3474821588122
2025-01-27_36_12,1432.1370076180337
2025-01-11_16_02,1540.0767020833784
2025-02-04_46_33,892.6286908281547
2025-01-11_48_46,3640.436110779117
2025-01-24_16_02,1378.7429904173646
2025-01-12_23_13,1911.1061243816107
2025-02-07_46_18,2969.375594354323
2025-02-26_09_46,3915.538152961722
2025-02-07_47_05,4604.852284633774
2025-01-18_36_22,1419.9452238563333
2025-02-07_02_01,1604.2203838331295
2025-01-01_46_26,1608.1088284422883
2025-02-08_26_46,1833.5156720015295
2025-01-09_46_44,3792.285733166165
2025-01-04_02_21,1476.6483954740138
2025-02-08_27_36,1667.0661627087297
2025-01-03_05_47,1893.5913871925882
2025-01-09_26_46,1395.7274626351243
2025-01-14_20_46,1912.4988972649276
2025-02-25_13_23,1476.7449286167932
2025-02-04_45_34,1439.3330512455602
2025-01-20_05_45,3315.532329859622
2025-02-15_46_15,1777.4094300021836
2025-01-16_19_02,1594.3441554463786
2025-01-07_22_36,1125.083510101399
2025-01-21_32_19,1994.7286438725455
2025-02-13_32_19,1727.2890486460626
2025-02-27_02_40,2168.302928053073
2025-02-22_45_42,1730.4042914872953
2025-01-05_35_46,4042.513959107762
2025-01-16_26_46,1859.2306196746952
2025-02-09_13_23,2911.856461554496
2025-01-24_39_45,1424.4588587905569
2025-01-13_36_27,1082.6299583078871
2025-02-09_45_47,4949.441011924999
2025-01-21_26_46,1663.0733984890203
2025-02-08_45_05,1776.9009116574557
2025-02-03_35_46,3136.70039995377
2025-01-03_19_02,2270.1193775219376
2025-02-06_36_12,1780.553858289242
2025-02-04_37_36,2647.6754507419478
2025-01-28_45_44,936.7416550172824
2025-02-18_46_15,1037.3603174207717
2025-02-10_45_46,4482.919254839103
2025-01-13_02_21,1313.9498884241075
2025-02-23_02_30,3455.720619400044
2025-02-22_09_45,2733.655649992859
2025-02-12_30_14,1358.7983479100471
2025-02-27_41_36,2007.7137175584182
2025-01-05_45_47,4523.8607201485665
2025-02-18_46_26,1370.4052667596943
2025-01-11_36_22,1130.2815329692216
2025-02-12_02_01,1353.8111823088
2025-02-13_17_23,977.4333181986934
2025-02-08_09_45,3179.959634613011
2025-02-17_45_05,1628.7320261412938
2025-01-03_36_27,1018.8946056264698
2025-02-14_37_36,3656.0876234240086
2025-01-15_12_36,1590.6697122426835
2025-01-26_02_01,1381.5142814409214
2025-01-26_02_14,1283.0351400426032
2025-02-05_36_12,1348.566922304033
2025-01-24_02_21,1595.2159930655796
2025-01-18_44_45,1891.2238691645405
2025-02-27_47_10,1218.4804713484882
2025-01-14_03_47,2317.6474263174255
2025-02-22_06_47,1619.5628620893701
